NAME	DESCRIPTION	SK_MEL_301T	SK_MEL_311AT	SK_MEL_321AT	SK_MEL_337T	SK_MEL_351T	SK_MEL_363T	SK_MEL_381T	SK_MEL_389	SK_MEL_394T	SK_MEL_398T	SK_MEL_430T	SK_MEL_445T	SK_MEL_455T	SK_MEL_539T	SK_MEL_499	SK_MEL_526T	SK_MEL_540	SK_MEL_551AT	SK_MEL_560_2T	SK_MEL_566_1	SK_MEL_574	SK_MEL_581_1T	SK_MEL_598_1T	SK_MEL_641_1
A1BG	A1BG	38.0473	24.4353	35.3942	4.15226	38.832	31.1381	47.6453	31.3167	30.4191	16.1634	18.1242	14.2708	30.6818	26.5688	22.2104	42.122	14.388	15.4049	9.74104	35.5867	29.6735	33.7778	46.0255	13.0394
A1BG-AS1	A1BG-AS1	4.65476	3.07942	6.76764	0.623175	4.45132	4.53012	8.91327	4.83416	4.97062	7.57259	4.41665	1.76566	3.82791	3.56362	2.56114	5.29717	3.44104	5.46282	3.60399	5.8919	3.81164	4.24695	7.02271	3.12509
A2M	A2M	21.7745	425.495	23.6276	1159.74	144.213	237.927	100.163	78.5562	186.225	495.844	55.5444	167.085	30.9407	61.3702	183.465	187.94	35.5485	198.024	73.0572	50.4066	51.198	222.508	874.045	60.8891
A2M-AS1	A2M-AS1	2.60311	2.88891	0.057284	1.2992	1.58453	0.266023	1.85378	0.683101	0.715236	1.11047	0.661789	0.472531	0.785962	2.2982	1.01316	0.869914	0.707492	1.67372	1.322	0.115496	1.58674	0.385947	1.73864	0.240666
A4GALT	A4GALT	0.632897	3.64268	1.93346	10.0839	1.74797	1.85453	2.59172	3.32069	12.3072	3.72907	9.50213	5.23963	1.39018	0.638648	3.32142	3.23924	0.419847	2.01529	0.583985	0.856659	1.19806	0.861425	1.37073	2.03859
AAAS	AAAS	25.0753	10.9894	18.7173	19.276	19.0628	19.737	24.8321	13.5901	20.3454	23.5382	28.7185	18.8093	29.0223	17.9266	16.9624	15.6876	20.3104	14.1945	37.3652	12.4558	22.5893	22.634	17.4597	23.6728
AACS	AACS	13.4388	2.87131	8.58824	6.71514	5.42285	3.42364	11.3784	13.8629	4.04348	4.43026	5.92625	5.91928	6.60149	9.45004	6.18134	10.2745	3.21629	4.50102	4.85045	2.09374	1.78243	5.87859	5.32441	4.14416
AADAT	AADAT	9.73233	1.52256	7.15044	3.01641	1.41511	0.878881	1.44987	1.4617	0.614646	1.00467	0.321186	1.5053	4.36154	0.719857	4.30119	0.632567	0.657479	0.200904	0.903074	3.13509	4.88172	1.32483	1.02808	1.7853
AAED1	AAED1	0.695007	2.81929	11.2176	6.08363	3.91021	9.50134	5.69167	9.34637	6.60331	6.35377	4.06949	3.79906	6.31066	6.5397	3.71164	4.82658	7.16073	6.28172	12.9115	10.6002	3.95873	5.97096	13.5596	5.47317
AAGAB	AAGAB	27.7813	20.627	24.4569	19.9258	10.8922	17.9373	12.2088	17.6952	11.7186	16.9305	16.247	18.2131	18.5746	14.6105	26.961	26.0939	23.0401	17.8475	19.797	26.9875	31.6962	20.295	18.2621	27.641
AAK1	AAK1	2.07739	1.58854	3.27558	3.3929	2.75187	1.99305	4.22583	1.42269	3.17781	2.53692	5.02542	4.11286	2.4905	1.48765	1.92	2.62533	0.797581	3.59091	1.16908	2.10748	0.564567	1.12828	2.56978	3.7547
AAMDC	AAMDC	19.2907	25.6624	45.1117	92.4403	30.564	34.904	23.0711	16.3123	21.9796	27.5275	14.4927	37.794	26.3889	12.6326	41.5714	17.6619	22.0463	19.9345	49.5376	25.0705	27.6126	20.7195	29.8138	25.6038
AAMP	AAMP	88.7525	40.1278	58.7482	55.182	58.3805	69.148	91.1479	79.6574	38.3385	51.6034	45.9438	55.2591	54.5088	65.9924	46.182	72.9614	55.1467	63.0666	38.5096	67.3352	53.6233	42.1772	49.7116	53.4702
AAR2	AAR2	36.4123	25.3318	22.174	22.4937	23.5523	19.1106	21.247	12.5511	14.3231	19.8052	15.031	16.8854	29.7111	25.7403	15.7178	21.811	31.2592	17.5326	23.0628	25.3416	17.7585	18.8322	22.3164	23.7563
AARS	AARS	37.2635	52.4591	36.7858	31.4471	64.1132	64.9006	27.967	60.8877	24.9508	78.3707	28.149	38.3647	50.5789	42.587	32.1966	53.1468	72.2629	54.951	49.2293	114.709	24.9548	54.1724	58.084	34.6952
AARS2	AARS2	5.26929	10.4108	6.77424	3.77082	5.48691	21.6968	9.91748	5.29057	3.93726	11.7729	4.97639	3.92459	19.5242	12.2329	6.61956	15.4349	13.3413	10.2342	12.9649	15.0296	13.1867	15.2924	6.09722	26.6298
AARSD1	AARSD1	52.559	36.1814	18.8667	34.911	18.8431	25.4307	31.5329	20.4941	23.7533	18.6147	26.3059	24.8647	47.3358	28.765	19.8271	26.9479	40.4124	17.7994	19.4667	30.8964	35.9057	19.84	25.6066	55.5175
AASDH	AASDH	3.59382	4.09306	2.12454	5.73486	2.36533	3.76941	4.47416	4.13086	2.8973	2.61631	3.14796	2.50427	3.16721	4.73573	3.09696	3.04248	6.95562	3.90963	4.09992	4.31847	4.13797	3.25384	3.36726	5.566
AASDHPPT	AASDHPPT	9.52263	14.2961	27.5457	14.2688	11.7182	18.1464	16.3198	27.8855	7.94856	22.7244	11.0387	18.5082	15.7136	22.6493	21.0518	16.8432	27.2553	14.4281	7.07389	34.0639	12.6748	13.1257	17.4449	47.5251
AASS	AASS	6.7295	2.7752	4.76635	3.87055	2.69218	3.02145	2.75778	5.02051	1.53304	2.88582	1.93396	5.6194	5.1235	11.3993	2.68391	4.4182	3.47612	3.13914	19.9713	4.27604	3.19743	2.29178	5.54695	5.37945
AATF	AATF	40.5817	32.4031	40.6335	17.2844	24.3646	45.7787	31.1334	31.546	25.3518	31.1204	33.375	26.4363	36.1602	38.6255	21.9827	41.0318	40.4407	32.3047	34.5287	25.747	33.7044	19.9839	39.554	66.361
AB019441.29	AB019441.29	10.2119	6.65423	13.7385	10.3252	6.58639	13.4276	6.08181	19.353	12.9024	5.29314	13.5044	6.93015	15.0267	15.2698	6.08561	6.80598	24.7126	4.07765	9.97493	24.7926	31.2811	7.97463	5.96406	7.45927
ABC7-42389800N19.1	ABC7-42389800N19.1	19.2298	10.6056	3.28167	8.93984	5.35932	5.55549	9.49447	2.02989	10.0224	8.1149	14.543	6.53936	11.5801	8.77558	10.5305	6.4821	8.01719	6.44738	5.35027	5.67294	4.68234	7.71605	12.6538	9.56434
ABC7-43041300I9.1	ABC7-43041300I9.1	0.700226	0.747605	0.760928	0.523927	0.484181	0.811438	0.443443	0.853618	0.673919	0.680846	0.429286	0.564716	0.676752	1.19029	0.453324	0.838166	0.916189	0.584639	0.845257	1.76027	0.843277	0.470505	0.41854	1.16308
ABCA1	ABCA1	1.7996	1.89387	5.66368	7.06634	3.931	5.77447	2.58615	1.75488	8.51524	5.25046	3.00716	9.70007	9.77206	0.880477	5.41894	1.75362	1.53661	13.3756	0.466585	0.825963	1.98762	7.0659	7.09447	8.2058
ABCA11P	ABCA11P	4.65402	0.65613	1.73749	0.963899	0.67846	0.969146	1.53299	0.621351	1.39818	0.895858	3.23982	1.02308	4.50906	1.42723	1.72909	0.859746	3.76326	0.857725	0.785984	3.18047	1.80516	1.09974	0.674777	2.3312
ABCA2	ABCA2	9.11722	11.2564	5.46262	9.73296	7.0752	8.58317	10.2282	6.11962	10.8065	7.90251	19.7691	6.87941	6.9201	11.6462	8.38882	13.1335	15.7653	11.7413	11.6775	23.5203	3.54642	8.46267	36.244	6.86069
ABCA3	ABCA3	0.697844	1.44859	1.36125	3.07127	1.66391	4.63956	5.19323	1.28788	2.51783	6.72233	3.9679	1.49237	6.20227	0.870734	0.826853	14.5864	5.71283	1.90645	1.61224	18.0376	1.81829	8.8662	5.76097	0.260617
ABCA5	ABCA5	3.94874	8.19226	1.91496	14.2924	3.48042	1.18982	5.56141	4.08488	3.06023	4.4213	6.50115	11.7428	7.20312	8.00409	11.6312	4.36098	14.6504	4.73561	20.2811	13.7266	8.2703	7.81994	9.66609	10.5826
ABCA7	ABCA7	2.05608	3.476	0.889226	4.88286	5.89661	3.97717	4.4412	1.53006	22.8046	7.52902	56.4388	3.80446	1.70085	3.17517	14.0287	2.83082	0.67821	3.21675	7.02369	3.32662	1.75833	3.21324	5.51992	2.06899
ABCB10	ABCB10	6.33325	4.86446	4.98987	5.20688	4.34959	8.49269	11.4051	15.5894	4.37992	3.68328	5.87032	9.07296	9.34991	3.2928	13.1988	8.8821	6.00343	6.8653	1.90897	12.4953	4.50575	5.64451	5.98532	3.06394
ABCB6	ABCB6	27.3117	7.87016	11.8741	18.2006	26.4908	36.8043	32.924	10.2465	8.55976	6.13593	7.72164	10.9435	14.7959	44.0827	16.6082	21.9032	19.4595	13.2806	19.1645	29.3827	18.4329	11.6293	24.273	22.5359
ABCB7	ABCB7	8.65333	8.43094	13.4956	9.06521	4.7901	9.07707	6.00707	9.69719	7.29201	6.22449	9.95019	9.51544	17.6359	5.95105	8.74815	7.70721	6.5355	7.29148	12.2462	12.844	8.92138	6.90627	7.05399	11.4677
ABCB8	ABCB8	12.2911	13.8946	15.76	8.42316	15.0599	19.5957	21.5126	11.9982	9.45197	15.2692	11.4231	10.5836	13.3679	16.1305	12.6142	32.9246	16.4767	16.1842	14.771	14.8961	8.35332	18.7985	14.6781	15.7677
ABCB9	ABCB9	2.00233	1.12607	2.42517	3.71646	2.49797	3.62951	2.72318	2.3688	1.57261	2.29391	1.38344	1.17336	1.42402	2.34201	2.40221	6.55096	1.23381	2.08498	1.59473	0.534791	2.07233	4.292	2.86507	2.74804
ABCC1	ABCC1	8.91529	5.36241	8.40743	7.80369	6.43374	5.72045	8.89031	4.83454	9.31219	4.36075	11.8822	9.08431	4.87092	13.7178	5.13651	5.71843	6.34	9.81025	0.844467	7.7096	2.84934	4.56652	8.68855	18.4272
ABCC10	ABCC10	10.1668	7.71881	7.75452	7.05304	12.2065	17.474	20.5066	2.50909	11.3155	8.63062	12.1965	7.64413	16.5757	5.93022	9.84185	10.8831	9.5588	10.5318	9.14595	6.67331	18.183	9.80822	9.07667	14.025
ABCC4	ABCC4	2.89488	3.81007	8.73045	1.36807	1.40596	1.06858	1.6698	4.92674	1.73211	1.21316	2.49213	2.84462	2.19609	5.55064	2.17849	2.23735	0.119346	2.66176	0.395668	7.41898	3.41411	0.868014	2.82119	12.3297
ABCC5	ABCC5	31.8344	6.16317	7.12752	11.8224	10.4899	14.9542	13.6965	7.126	10.7721	6.26664	5.70418	10.556	7.68176	29.7238	18.6759	18.7476	7.65993	5.71477	7.50595	9.45835	13.7415	7.28935	4.80122	17.322
ABCC9	ABCC9	0.42167	1.51179	2.8184	4.25223	0.693628	0.398761	1.20051	1.05682	3.34623	1.1023	1.34057	1.71148	1.4508	0.246635	0.353471	0.347099	0.210512	0.29686	0.339508	0.267136	0.384066	0.158879	1.06949	1.77468
ABCD1	ABCD1	6.91101	13.2147	13.832	11.6245	8.64613	17.3129	9.38643	4.25665	9.62941	14.2413	6.1363	13.4144	3.84943	9.57194	9.91156	13.6852	4.70583	18.209	20.9851	13.2292	5.74136	12.4416	18.3345	18.3536
ABCD3	ABCD3	21.7525	23.4578	17.2614	13.338	10.0778	26.9369	14.4965	21.8615	5.25235	12.7563	6.94617	14.389	16.8055	17.3216	27.0573	17.4123	16.0912	11.6366	17.6065	28.4	12.2436	9.67908	10.2245	31.4857
ABCD4	ABCD4	35.7421	20.7065	20.8859	19.8446	18.0237	21.4687	29.3251	10.2152	24.7669	21.5931	26.0601	12.1699	24.9933	34.0414	23.2147	10.4769	15.4588	17.4014	5.94371	18.6934	21.3457	16.6276	12.6142	27.7042
ABCE1	ABCE1	29.86	29.5255	30.7632	36.8655	14.9958	22.3177	31.121	39.1115	13.8242	16.1856	18.1708	23.79	40.3373	30.3182	19.6345	26.9088	27.045	21.608	25.654	51.3377	28.4815	18.4894	21.2484	52.9691
ABCF1	ABCF1	76.0001	34.055	29.3855	19.6122	36.1282	81.527	42.4603	23.8512	20.991	51.2137	31.8214	25.7083	63.4841	29.0304	28.4216	56.1053	42.4041	46.5122	37.0792	39.738	42.3872	31.8799	29.9185	94.4141
ABCF2	ABCF2	26.5974	22.0744	34.2604	17.233	12.6623	28.2629	26.7214	30.8571	11.6555	22.3408	16.6712	17.7429	24.0761	34.752	14.3647	44.9105	31.7273	23.3773	37.7215	37.8985	17.3471	17.5356	15.4416	36.3404
ABCF3	ABCF3	55.4949	25.3536	21.1723	15.4564	24.1481	24.327	22.9222	16.8295	26.4565	23.5694	32.3694	31.7381	18.0065	28.0659	18.4903	28.3094	23.313	28.9068	29.1249	19.2005	22.9095	25.0675	18.8149	27.7337
ABCG1	ABCG1	0.835585	5.68816	1.55277	4.07928	5.63605	4.37683	1.73146	3.88753	27.8433	7.02845	11.5325	17.1575	1.777	1.27064	17.0082	2.15731	1.22834	15.1375	4.06412	1.3831	0.981191	9.70721	6.26858	0.961584
ABHD10	ABHD10	22.2461	8.19878	16.4475	7.24499	9.79348	8.41943	14.2721	15.9843	9.93568	11.1688	13.1824	16.9612	13.0568	13.5852	13.5713	12.103	12.8725	13.1956	9.96519	16.7788	17.0669	11.236	22.2823	22.5669
ABHD11	ABHD11	12.3708	11.346	13.2944	8.20895	6.88769	9.81132	13.8709	11.0478	8.9999	9.58622	9.38249	5.89635	8.06566	15.1039	9.0249	7.28014	11.3158	9.11526	18.054	9.10651	4.37801	7.69719	10.2075	14.5329
ABHD12	ABHD12	30.7019	44.3646	39.4312	28.2154	59.4324	64.0827	31.8784	23.6698	54.8446	40.0532	15.3827	27.4773	33.053	33.704	38.7509	46.7802	36.7725	52.4425	55.9746	17.6465	20.7712	69.1085	44.4599	17.9383
ABHD13	ABHD13	5.27754	6.79415	2.54884	5.07231	3.53778	4.03689	5.45615	6.59545	2.9843	3.77871	5.06541	6.15469	4.61711	4.86489	7.6642	4.28733	4.1116	4.22476	1.53918	8.66984	6.87795	4.2435	4.08869	5.81866
ABHD14A	ABHD14A	15.3143	15.2045	24.8255	9.01807	27.9505	5.99395	47.345	6.57618	15.8459	18.85	16.1097	23.1904	10.9927	9.58609	7.65337	15.3669	8.35769	12.5687	9.62455	9.97188	16.5117	17.8776	25.3643	12.8898
ABHD14B	ABHD14B	23.7018	52.028	52.3438	17.468	40.2809	48.2305	33.8646	20.3721	48.0698	26.8058	48.543	29.2535	61.1954	32.9023	25.7913	64.5086	26.5717	38.09	22.3064	90.0006	84.7128	40.5759	36.7504	27.528
ABHD15	ABHD15	2.85485	6.93983	4.77208	3.01786	3.5697	9.90444	6.31659	3.83853	6.08792	6.36602	10.5872	3.152	1.78842	3.90506	4.80564	5.34056	3.27783	5.39994	3.55735	4.23387	4.07869	4.09191	5.87698	7.38541
ABHD16A	ABHD16A	28.4309	54.1573	11.732	14.096	29.9082	40.2397	24.7334	11.0574	19.8365	48.5555	27.2587	24.4808	24.4986	17.0221	29.5435	32.4979	21.5355	58.6271	39.0061	14.579	32.7433	52.2784	36.4563	35.0254
ABHD16B	ABHD16B	8.18956	2.80924	3.98532	1.8796	2.9564	5.05479	9.63615	0.923463	4.01053	3.51025	5.00254	2.2367	2.06769	2.40142	1.53566	1.6457	0.829274	3.61307	1.36962	1.61079	0.861313	3.14002	1.72221	0.604904
ABHD17A	ABHD17A	33.665	38.9872	40.643	26.7215	36.9104	21.1743	25.0008	32.8809	36.3361	32.4781	44.2858	32.7748	65.7736	21.4176	35.5665	30.6686	18.3903	28.0531	35.9167	28.9728	26.3596	26.7433	34.5987	14.4784
ABHD17AP1	ABHD17AP1	3.56578	4.59562	4.94481	2.94314	3.84587	2.1233	2.78666	4.04699	3.78417	4.16056	4.59699	3.7184	9.58944	2.74554	4.38604	3.74848	2.56384	3.17864	4.2119	4.25959	3.22188	3.05601	3.6787	2.02373
ABHD17AP2	ABHD17AP2	3.57044	4.60161	4.95127	2.94699	3.85085	2.1485	2.79031	4.05223	3.78912	4.16597	4.60299	3.72327	9.60195	2.74913	4.39171	3.75338	2.56716	3.18282	4.21741	4.26512	3.22606	3.06	3.68349	2.02636
ABHD17AP3	ABHD17AP3	2.07021	2.17351	2.76041	1.61905	2.31371	1.22447	1.67307	1.78452	2.0578	1.84469	2.56978	1.99829	4.16085	1.24509	1.59169	1.92822	0.979168	1.99535	2.17229	1.551	1.51214	1.73749	2.19618	0.856421
ABHD17AP4	ABHD17AP4	2.19846	1.26807	1.66482	1.53128	1.38184	0.875684	1.23781	1.39706	1.38505	1.23709	1.88728	1.48227	2.84248	0.961377	1.60148	1.182	0.831736	1.24882	1.34523	1.23546	1.19517	1.12051	1.63084	0.596737
ABHD17AP5	ABHD17AP5	2.92233	0.929629	1.06029	0.603295	0.913491	0.456321	0.879909	0.978297	1.08706	0.969676	3.18314	0.907928	2.30437	0.749125	1.15359	0.891605	0.571412	0.637009	0.736015	1.00528	0.947734	0.625105	0.90749	0.560952
ABHD17AP6	ABHD17AP6	1.62203	1.78797	1.86552	1.24911	1.89495	1.02917	1.37214	1.80668	1.93822	1.86807	2.68087	1.41316	3.52687	1.10707	1.88672	1.23737	1.00287	1.49932	1.71212	2.01459	1.36472	1.27037	1.52954	1.0338
ABHD17B	ABHD17B	12.8176	6.52524	7.68025	6.92299	8.85457	13.8199	11.9342	12.0481	6.05611	3.99301	6.96704	10.3577	17.4252	35.05	8.89993	7.92402	14.8828	7.15425	13.7474	12.8356	9.21088	7.02659	3.43233	13.3494
ABHD17C	ABHD17C	6.88435	7.81142	4.15257	6.69953	3.77135	2.21585	4.07563	8.62426	3.87231	20.8459	5.68928	8.96968	8.9911	9.71027	30.2183	11.7903	6.3224	16.6757	4.71921	5.84058	4.94795	8.0332	11.3399	8.16794
ABHD2	ABHD2	4.57441	21.277	28.1196	14.7409	7.97916	10.5963	5.61962	13.5214	9.80404	86.8052	6.06077	20.6669	24.1172	10.7993	23.0059	14.2092	10.7851	42.4689	6.16792	10.9332	10.5932	13.4858	18.0028	10.6023
ABHD3	ABHD3	6.74969	9.47223	4.42756	6.94145	15.3095	11.4448	8.56927	7.3853	7.23069	5.90559	12.5178	10.3694	3.55307	12.5652	24.7126	4.75021	3.24124	11.5461	8.93951	8.89908	3.89982	6.71079	11.7039	10.1038
ABHD4	ABHD4	7.53695	5.15012	15.1312	20.134	13.6898	12.0407	15.1643	11.1173	8.60019	23.952	6.3234	10.8302	10.3345	13.045	9.93144	14.8076	21.5937	19.2733	26.8344	11.9409	8.00527	8.15888	11.7654	9.46274
ABHD5	ABHD5	6.82015	4.07622	30.363	7.72016	7.9527	7.36588	8.05421	15.143	4.00867	6.4293	4.60049	7.63663	5.12951	7.33227	11.7067	8.8196	5.27153	10.7941	12.8448	10.0176	6.69278	7.38145	7.66758	10.5246
ABHD6	ABHD6	3.30083	5.6377	8.57222	1.80619	3.99353	4.38067	6.44419	6.32755	4.14084	5.87846	7.47809	4.65004	3.33478	5.28505	9.27652	9.60154	3.42924	7.44816	26.0076	11.9951	9.07329	12.3019	6.3393	4.05304
ABHD8	ABHD8	20.5484	4.56669	9.12165	2.729	5.45469	3.78182	16.8404	1.98738	7.17519	7.43309	6.12101	6.25431	4.94021	4.67139	3.16867	4.56746	2.85751	5.70242	4.37724	3.69886	2.67878	4.55867	7.47624	1.97607
ABI1	ABI1	6.67629	15.6603	23.9044	23.3844	25.5855	44.7954	17.5213	29.9372	21.9841	18.3313	25.9064	18.6644	21.3431	15.7683	25.8061	18.8849	22.3459	33.2303	33.0019	36.8587	19.363	25.0013	16.6613	12.4237
ABI2	ABI2	32.6916	7.56241	43.2369	28.7833	10.8648	9.90544	22.021	17.7645	5.52599	16.8193	5.73949	25.8983	24.8544	14.3589	11.9376	22.7888	14.3692	15.2557	26.0762	21.203	10.7533	10.8197	18.4051	18.9777
ABI3	ABI3	2.83023	8.52387	1.44063	3.52202	15.8217	19.2007	3.46881	3.08269	34.3051	14.7474	36.2241	8.50896	1.70798	2.19981	6.89672	1.23301	0.636019	27.7068	1.25777	3.07242	2.08063	12.207	17.0155	0.911062
ABL1	ABL1	23.1392	12.4326	35.3575	17.3179	21.5887	38.0213	20.1162	15.2422	15.1992	19.6182	12.4926	29.3533	22.4224	21.6876	11.2013	16.7907	17.9121	23.9946	30.9563	27.2671	12.7417	14.6474	11.7248	27.2506
ABL2	ABL2	2.91384	3.97375	8.47464	30.51	6.88206	9.51838	5.52517	14.9361	3.1377	8.02957	1.68044	7.43624	22.445	15.3203	4.78565	31.7783	10.4021	3.56986	5.65476	14.7302	11.2152	17.853	7.90386	15.2743
ABLIM1	ABLIM1	5.08893	2.60086	0.924668	8.23953	2.84355	1.67214	3.12297	24.6779	14.4638	4.31016	24.9352	23.1419	9.92681	1.80173	10.8998	1.60057	5.14213	2.36319	25.5718	13.9955	13.522	2.80929	3.39637	9.01971
ABLIM3	ABLIM3	0.815708	3.09816	10.6262	4.44671	5.0338	2.3617	3.15824	23.5494	5.9716	34.8795	5.42084	6.13972	2.02107	4.38783	3.27779	12.2554	12.4083	16.6442	8.88128	21.8064	2.30644	8.61112	9.33873	2.63409
ABR	ABR	25.1124	21.6876	22.1503	29.0818	42.8436	25.7522	25.793	35.7353	34.8581	44.0472	24.0125	28.1874	16.6581	43.1088	35.6382	64.7003	44.8911	41.3197	51.9652	79.0743	8.7422	34.2696	39.753	85.9816
ABRACL	ABRACL	22.3434	37.4205	30.5721	21.874	28.2879	28.7507	44.2106	45.77	44.7141	18.7282	74.8941	35.8994	18.0786	37.3071	60.3691	29.7482	20.8901	33.7311	52.6597	14.2379	56.8742	34.7043	30.768	65.0781
ABT1	ABT1	24.7147	18.2182	11.6617	9.06566	14.149	25.2854	19.934	13.6791	12.341	19.7552	18.3675	13.3886	38.3187	10.7475	13.0518	19.3191	19.0405	16.0212	12.3282	12.8601	23.3494	18.0375	12.3294	25.1423
ABTB1	ABTB1	22.8428	10.9023	19.0172	14.7104	11.8089	13.8099	16.5733	8.57737	34.0255	18.4285	39.3341	8.26714	4.98446	17.5147	16.5444	13.8556	6.30331	16.9698	4.34545	9.89094	7.1622	18.16	9.99252	3.63521
ABTB2	ABTB2	1.4545	6.31057	0.478794	3.92031	5.38676	6.63949	13.8047	6.83637	1.50708	6.8642	1.82811	26.0927	8.43205	3.26399	5.78262	14.2586	26.1112	3.91296	4.2279	6.07224	8.54856	7.92998	6.9787	12.0745
AC000041.8	AC000041.8	11.9718	25.694	18.1868	14.5775	22.6145	32.7826	24.8521	19.0833	36.9803	18.1988	24.9025	29.9069	31.4297	19.0826	16.3565	17.8541	20.2885	29.6515	49.4326	28.4128	6.46374	19.9514	19.6299	15.7665
AC000089.3	AC000089.3	16.4722	9.57726	24.2448	11.9949	8.94108	14.1446	11.2548	21.2958	17.8337	6.58338	19.1428	16.0943	25.961	20.4719	6.26508	8.23891	17.867	8.01352	18.7414	26.2437	26.8269	14.0142	11.8642	11.3532
AC002056.3	AC002056.3	3.66171	1.6159	1.84282	2.0901	1.16204	1.93812	1.414	1.44561	0.977704	0.984361	1.83636	1.57733	2.40072	0.888443	1.98229	1.50314	2.55873	1.3439	0.908931	1.43251	1.64255	1.20937	1.5177	2.13537
AC002075.4	AC002075.4	51.1404	45.102	41.5066	71.2566	30.5132	69.5247	40.9252	86.7424	90.7838	37.9709	116.816	34.9406	96.0258	62.1412	30.5691	64.5976	177.411	37.0007	37.7224	58.2966	146.995	74.3241	45.7731	50.0039
AC002310.12	AC002310.12	4.7061	1.25134	0.157762	0.555953	1.44896	1.59026	2.64902	0.797561	2.03939	0.436178	1.7069	1.09738	0.778872	3.13203	0.7814	0.937669	1.71255	0.76083	2.97119	1.60182	0.705126	1.06891	0.794859	1.21044
AC002321.2	AC002321.2	0.534983	1.3771	0.1662	2.26542	1.03437	0.791365	0.864276	0.276454	5.51966	0.378115	1.87527	6.48134	0.465833	0.669541	0.505946	0.169106	0.113886	0.23922	0.308506	0.190835	0.147659	0.13345	0.294472	1.23024
AC002398.11	AC002398.11	1.40669	2.4284	1.32031	0.845371	0.639843	0.989315	2.69814	0.80795	1.01032	0.993872	0.786572	1.1563	0.675097	0.551311	1.66814	0.817663	1.65404	0.812485	0.675551	1.4375	0.99626	1.04139	0.723908	0.733943
AC002398.9	AC002398.9	8.31738	3.1696	6.2165	3.0067	4.2134	3.48974	10.0331	2.71019	6.28931	5.05426	5.99585	3.76685	3.39121	2.63109	2.06443	2.64661	2.4428	5.37634	5.98082	4.60389	1.97747	2.42066	4.4564	3.08561
AC002467.7	AC002467.7	3.51136	4.39141	2.97046	0.834241	1.15896	2.70866	6.39107	2.74448	1.94741	2.21762	2.83997	1.43998	2.57179	7.54194	3.71059	3.3536	3.04922	3.42516	8.2886	2.48243	1.52496	3.79426	2.12835	3.34894
AC003029.1	AC003029.1	16.3076	4.73565	1.1467	2.22712	5.4497	5.96188	3.30946	5.14044	9.42467	2.94864	7.41317	4.45505	6.75873	1.96402	6.07145	1.75004	4.26186	1.60904	5.78204	3.01046	6.28815	3.16339	4.04192	7.07208
AC003665.1	AC003665.1	0.87774	1.58422	0.677584	0.652365	0.946985	2.08554	4.71959	2.66483	0.585057	2.17925	0.663142	0.766486	2.55874	3.86401	1.0625	2.19865	3.32772	1.67584	1.10275	1.88617	1.4537	0.933942	1.26089	2.22249
AC004057.1	AC004057.1	39.0561	85.0758	68.9469	79.5271	45.3409	42.1218	90.7655	180.631	141.608	69.1376	306.411	145.122	122.957	104.061	79.85	70.9515	117.168	65.1553	71.8312	93.9438	61.2101	124.129	34.3312	52.0039
AC004069.2	AC004069.2	12.5164	3.0652	4.78764	4.67761	3.06096	4.08225	3.8017	5.82711	4.49723	2.93531	6.59625	4.41455	11.0002	2.94936	4.75752	3.13865	10.3539	2.80159	5.19097	4.2812	13.5663	3.01872	4.32274	6.39879
AC004074.3	AC004074.3	3.31362	3.15687	2.5802	3.69055	1.24941	7.13403	2.88719	6.51317	1.70341	1.72671	1.61878	2.79248	5.97448	3.0909	2.84337	6.68607	7.45094	2.77527	2.71024	9.05595	8.00583	4.43379	4.63092	1.7438
AC004257.3	AC004257.3	12.2357	3.90465	1.3628	1.25953	2.23946	4.01038	1.91169	1.3206	4.54073	8.38526	6.53784	3.94393	6.30114	4.2834	5.52234	2.25467	7.52529	2.36154	1.49108	1.50342	5.08582	2.00045	4.03386	2.08218
AC004381.6	AC004381.6	5.04534	1.42932	2.30552	2.06351	0.999858	1.25785	5.64018	2.57782	1.29043	1.08909	1.02733	2.31216	0.8974	3.02383	1.52248	0.801571	2.6259	2.04688	2.00095	2.06863	0.821922	0.962393	2.32781	1.84979
AC004447.2	AC004447.2	16.0752	7.94908	4.40306	5.25524	4.01865	5.32153	24.963	2.14282	7.42565	3.4674	11.2539	3.42559	8.87599	5.22076	6.27557	3.91115	6.87318	3.67561	6.52793	2.93075	6.64568	3.26509	9.40496	7.17341
AC004453.8	AC004453.8	109.837	42.7806	84.7946	66.808	50.3193	57.1913	51.3754	109.782	91.0416	38.7039	99.3936	44.5044	96.6453	58.4981	36.9009	57.3017	114.388	33.233	116.419	103.149	252.858	86.3105	51.0939	51.3353
AC004706.1	AC004706.1	3.40611	0.796793	0.832334	0.576637	1.17509	0.107732	2.51732	1.28598	0.613214	2.11379	1.12345	0.780392	0.45405	0.910761	2.13494	1.43055	3.36089	1.77892	0.580035	2.00724	0.421588	0.37163	2.43297	1.40886
AC004797.1	AC004797.1	15.2741	16.2773	14.849	16.1417	9.00963	11.4567	13.673	15.6967	6.99957	10.0787	8.10542	13.5718	17.6303	9.30638	17.062	14.4425	10.0786	10.1493	7.41919	16.7653	9.82962	7.41278	8.8487	16.7981
