NAME	DESCRIPTION	SK_MEL_301T	SK_MEL_311AT	SK_MEL_321AT	SK_MEL_337T	SK_MEL_351T	SK_MEL_363T	SK_MEL_381T	SK_MEL_389	SK_MEL_394T	SK_MEL_398T	SK_MEL_430T	SK_MEL_445T	SK_MEL_455T	SK_MEL_539T	SK_MEL_499	SK_MEL_526T	SK_MEL_540	SK_MEL_551AT	SK_MEL_560_2T	SK_MEL_566_1	SK_MEL_574	SK_MEL_581_1T	SK_MEL_598_1T	SK_MEL_641_1
ZNF593	ZNF593	8.96833	12.5602	9.89574	6.93182	10.7551	15.4716	20.7097	9.24511	7.05578	6.50578	7.17624	6.92852	16.7632	8.65331	7.51221	13.9125	7.32903	7.5305	18.5659	8.11705	11.9839	7.40583	8.42981	9.91992
ZNF594	ZNF594	2.07114	0.310022	2.06526	1.17763	1.12265	0.585316	1.00506	0.738396	0.839397	1.9791	2.50879	0.265321	1.11519	1.94734	1.31674	0.402859	1.4092	1.46023	1.08002	1.59099	0.347955	0.917427	2.12331	1.09087
ZNF595	ZNF595	27.3486	1.69784	3.45982	1.07202	8.31259	12.5551	58.6556	9.20024	8.79646	10.6333	4.26657	25.0011	68.139	18.8211	44.8318	1.3935	8.74978	10.8931	2.66386	36.2266	1.02698	1.55088	23.2224	39.1505
ZNF596	ZNF596	5.3069	1.65865	0.463291	1.14682	0.450349	0.503603	2.84413	0.958311	1.31239	1.39321	2.70707	0.525592	0.879342	2.11107	1.46008	0.291423	3.30401	1.0265	1.63081	1.56434	0.703575	0.907245	0.984112	1.80265
ZNF598	ZNF598	41.0838	19.804	26.6336	12.0147	11.0599	14.985	21.939	13.0109	13.3831	14.288	18.8986	11.3331	24.0803	26.1226	11.6004	26.5035	12.5597	12.6846	15.8373	37.7617	10.8213	10.635	15.6075	18.1487
ZNF599	ZNF599	6.89387	5.4283	4.15364	3.23912	2.27356	3.90128	6.33892	1.80716	2.67557	4.01528	2.91333	2.79799	3.82394	1.93623	3.11076	1.25188	5.0694	3.12507	5.59596	3.8397	1.95879	1.92246	2.26004	2.32015
ZNF600	ZNF600	0.840972	2.04402	1.25047	2.04099	2.00113	2.04039	1.08421	2.32703	4.39787	4.0789	6.59073	1.70459	6.40039	2.62424	4.2543	1.77892	2.83775	2.03336	3.94536	1.87377	1.37385	2.5831	3.11548	1.46546
ZNF605	ZNF605	3.83472	0.611351	0.772406	1.3493	3.28269	1.89422	1.97319	0.380447	0.940621	1.38618	1.06363	1.19934	3.49373	0.327831	2.15469	0.667975	3.07016	0.76616	0.321176	1.20762	2.30727	1.35056	1.66416	8.23608
ZNF606	ZNF606	9.88502	1.89068	4.0726	1.37091	2.19981	2.43621	3.04595	1.94702	2.97954	4.53462	5.10337	2.06303	3.31255	2.80123	4.25492	0.679949	3.74638	2.4476	2.22486	1.77401	1.91877	2.04887	2.31983	2.50387
ZNF607	ZNF607	2.37113	0.957126	1.77395	0.444	1.08356	1.31868	3.67399	1.38132	1.27195	0.467459	1.6878	0.63515	4.20737	1.16946	1.59571	0.227285	3.56076	1.10687	1.98661	1.77485	0.70427	0.714724	0.357735	2.63474
